Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft)
Andheri,1 RK Apartment,19000,350 sq.ft,Unfurnished,1,Missing,0.0,Missing
Andheri,2 BHK Apartment,67000,900 sq.ft,Fully Furnished,2,Missing,1.0,Missing
Andheri,2 BHK Apartment,36000,900 sq.ft,Semi Furnished,2,Missing,1.0,Missing
Andheri,3 BHK Apartment,70000,1600 sq.ft,Semi Furnished,3,1,1.0,1000 sq.ft
Andheri,2 BHK Apartment,45000,1000 sq.ft,Unfurnished,2,Missing,1.0,Missing
Andheri,3 BHK Apartment,53000,1250 sq.ft,Fully Furnished,3,3,0.0,Missing
Andheri,2 BHK Apartment,25000,700 sq.ft,Unfurnished,1,Missing,0.0,Missing
Andheri,2 BHK Apartment,55000,1200 sq.ft,Semi Furnished,2,Missing,1.0,800 sq.ft
Andheri,2 BHK Apartment,68000,900 sq.ft,Fully Furnished,2,2,1.0,750 sq.ft
Andheri,1 BHK Apartment,27000,600 sq.ft,Unfurnished,1,Missing,0.0,500 sq.ft
Andheri,2 BHK Apartment,50000,900 sq.ft,Fully Furnished,2,Missing,1.0,750 sq.ft
Andheri,3 BHK Apartment,100000,1400 sq.ft,Fully Furnished,3,Missing,0.0,1000 sq.ft
Andheri,2 BHK Apartment,52000,850 sq.ft,Fully Furnished,2,Missing,1.0,650 sq.ft
Andheri,2 BHK Apartment,60000,900 sq.ft,Fully Furnished,2,Missing,1.0,700 sq.ft
Andheri,2 BHK Apartment,70000,1200 sq.ft,Semi Furnished,2,Missing,1.0,1000 sq.ft
Andheri,2 BHK Apartment,55000,1250 sq.ft,Semi Furnished,2,2,1.0,800 sq.ft
Andheri,2 BHK Apartment,45000,1200 sq.ft,Semi Furnished,2,Missing,1.0,800 sq.ft
